Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your estimate?,What is your timestamp?,How experienced are you with Linux?,Would you like to Dual Boot Windows on your Steam Deck?
19/01/2022 23:08:50,UK,512 GB,Q1 (Used to be December),1626454991,I used Linux frequently in the past.,Yes
19/01/2022 23:09:33,US,512 GB,Q2 (Used to be Q1),1626457632,I have no Linux experience,No
19/01/2022 23:09:47,EU,64 GB,Q2 (Used to be Q1),1626775711,I used Linux frequently in the past.,No
19/01/2022 23:10:15,US,256 GB,Q2 (Used to be Q1),1626463172,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:10:28,EU,256 GB,Q2 (Used to be Q1),1626508336,I am still using Linux frequently.,Yes
19/01/2022 23:11:35,US,512 GB,After Q2 (No change),"{""success"":21}",I tried it once or twice before.,Yes
19/01/2022 23:12:15,US,256 GB,After Q2 (No change),"Sat, November 6, 2021",I tried it once or twice before.,Yes
19/01/2022 23:12:25,US,512 GB,Q2 (Used to be Q1),1626455248,I have seen it before.,Yes
19/01/2022 23:12:42,EU,256 GB,Q1 (Used to be December),1626455243,I have seen it before.,No
19/01/2022 23:13:50,EU,64 GB,After Q2 (Used to be Q2),1628018878,I tried it once or twice before.,Yes
19/01/2022 23:14:01,EU,512 GB,Q2 (Still Q2),1626463964,I am still using Linux frequently.,Yes
19/01/2022 23:14:23,UK,512 GB,Q2 (Used to be Q1),11,I have no Linux experience,No
19/01/2022 23:14:36,EU,512 GB,After Q2 (No change),21,I am still using Linux frequently.,No
19/01/2022 23:15:12,EU,512 GB,Q2 (Used to be Q1),1626460636,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:15:17,US,256 GB,Q1 (Used to be December),1626455254,I tried it once or twice before.,Yes
19/01/2022 23:15:20,EU,256 GB,Q2 (Used to be Q1),1626462017,I tried it once or twice before.,No
19/01/2022 23:15:40,US,512 GB,Q2 (Used to be Q1),1626459374,I tried it once or twice before.,No
19/01/2022 23:15:41,US,256 GB,After Q2 (Used to be Q2),Pacific ,I am still using Linux frequently.,No
19/01/2022 23:16:26,EU,512 GB,After Q2 (No change),1641421930,I tried it once or twice before.,No
19/01/2022 23:16:28,EU,256 GB,Q1 (Still Q1),21,I tried it once or twice before.,Yes
19/01/2022 23:16:30,EU,256 GB,Q1 (Used to be December),1626455898,I tried it once or twice before.,No
19/01/2022 23:16:39,EU,512 GB,Q1 (Used to be December),1626455567,I am still using Linux frequently.,No
19/01/2022 23:17:22,EU,512 GB,Q2 (Used to be Q1),1626463993,I have seen it before.,No
19/01/2022 23:17:56,US,512 GB,Q2 (Still Q2),1639757954,I used Linux frequently in the past.,No
19/01/2022 23:18:45,EU,256 GB,Q2 (Used to be Q1),1626467747,I tried it once or twice before.,No
19/01/2022 23:18:53,US,512 GB,After Q2 (No change),1626460478,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:19:08,EU,256 GB,Q1 (Used to be December),1626455985,I am still using Linux frequently.,No
19/01/2022 23:19:59,EU,256 GB,Q1 (Used to be December),1626455577,I have no Linux experience,Yes
19/01/2022 23:20:10,UK,256 GB,Q1 (Used to be December),1626454857,I tried it once or twice before.,No
19/01/2022 23:20:35,US,512 GB,After Q2 (Used to be Q2),07/24/2021,I tried it once or twice before.,No
19/01/2022 23:21:08,US,512 GB,Q2 (Used to be Q1),1626457811,I tried it once or twice before.,Yes
19/01/2022 23:21:18,US,512 GB,Q1 (Used to be December),1626454884,I tried it once or twice before.,No
